id	store_code	availability	price	quantity
sa-12v-5a-60w-led-adapter	REPLACE_WITH_STORE_CODE	in_stock	371.00 INR	10000
sa-bar-led-sign-board	REPLACE_WITH_STORE_CODE	in_stock	2189.00 INR	10000
sa-clinic-led-sign-board-18x18	REPLACE_WITH_STORE_CODE	in_stock	2689.00 INR	10000
sa-clinic-led-sign-board-24x24	REPLACE_WITH_STORE_CODE	in_stock	5489.00 INR	10000
sa-neuro-plus-led-sign-board-18x18	REPLACE_WITH_STORE_CODE	in_stock	2689.00 INR	10000
sa-neuro-plus-led-sign-board-24x24	REPLACE_WITH_STORE_CODE	in_stock	5489.00 INR	10000
sa-clinic-medical-led-sign-board	REPLACE_WITH_STORE_CODE	in_stock	6819.00 INR	10000
sa-computer-repair-led-sign-board	REPLACE_WITH_STORE_CODE	in_stock	2189.00 INR	10000
sa-dental-led-sign-board	REPLACE_WITH_STORE_CODE	in_stock	5128.00 INR	10000
sa-dental-plus-led-sign-board-18x18	REPLACE_WITH_STORE_CODE	in_stock	2689.00 INR	10000
sa-dental-plus-led-sign-board-24x24	REPLACE_WITH_STORE_CODE	in_stock	5489.00 INR	10000
sa-green-clinic-led-sign-board-18x18	REPLACE_WITH_STORE_CODE	in_stock	2689.00 INR	10000
sa-green-clinic-led-sign-board-24x24	REPLACE_WITH_STORE_CODE	in_stock	5489.00 INR	10000
sa-hair-salon-led-sign-board	REPLACE_WITH_STORE_CODE	in_stock	2189.00 INR	10000
sa-led-dimmer-controller	REPLACE_WITH_STORE_CODE	in_stock	90.00 INR	10000
sa-led-strip-remote-controller	REPLACE_WITH_STORE_CODE	in_stock	339.00 INR	10000
sa-love-neon-led-sign	REPLACE_WITH_STORE_CODE	in_stock	400.00 INR	10000
sa-medical-pharmacy-led-sign-board-18x18	REPLACE_WITH_STORE_CODE	in_stock	2789.00 INR	10000
sa-medical-pharmacy-led-sign-board-24x24	REPLACE_WITH_STORE_CODE	in_stock	5489.00 INR	10000
sa-medical-plus-led-sign-board-18x18	REPLACE_WITH_STORE_CODE	in_stock	2689.00 INR	10000
sa-medical-plus-led-sign-board-24x24	REPLACE_WITH_STORE_CODE	in_stock	5489.00 INR	10000
sa-medical-red-led-sign-board-18x18	REPLACE_WITH_STORE_CODE	in_stock	2689.00 INR	10000
sa-medical-red-led-sign-board-24x24	REPLACE_WITH_STORE_CODE	in_stock	5489.00 INR	10000
sa-open-24-hours-led-sign-board	REPLACE_WITH_STORE_CODE	in_stock	2189.00 INR	10000
sa-open-close-led-open-single	REPLACE_WITH_STORE_CODE	in_stock	2189.00 INR	10000
sa-open-close-led-close-single	REPLACE_WITH_STORE_CODE	in_stock	2189.00 INR	10000
sa-open-close-led-combo	REPLACE_WITH_STORE_CODE	in_stock	3981.00 INR	10000
sa-opticals-led-sign-board	REPLACE_WITH_STORE_CODE	in_stock	6330.00 INR	10000
sa-optical-plus-led-sign-board-18x18	REPLACE_WITH_STORE_CODE	in_stock	2689.00 INR	10000
sa-optical-plus-led-sign-board-24x24	REPLACE_WITH_STORE_CODE	in_stock	5489.00 INR	10000
sa-pan-shop-led-sign-board	REPLACE_WITH_STORE_CODE	in_stock	2475.00 INR	10000
sa-pharmacy-plus-led-sign-18x18	REPLACE_WITH_STORE_CODE	in_stock	2689.00 INR	10000
sa-pharmacy-plus-led-sign-24x24	REPLACE_WITH_STORE_CODE	in_stock	5489.00 INR	10000
sa-rgb-pixel-led-controller	REPLACE_WITH_STORE_CODE	in_stock	250.00 INR	10000
sa-spa-open-led-sign-board	REPLACE_WITH_STORE_CODE	in_stock	2189.00 INR	10000
sa-tattoo-led-sign-board	REPLACE_WITH_STORE_CODE	in_stock	2189.00 INR	10000
sa-xerox-store-led-sign-board	REPLACE_WITH_STORE_CODE	in_stock	2178.00 INR	10000
sa-ent-led-sign-board-18x18	REPLACE_WITH_STORE_CODE	in_stock	2889.00 INR	10000
sa-ent-led-sign-board-24x24	REPLACE_WITH_STORE_CODE	in_stock	5489.00 INR	10000
sa-doctor-led-sign-board-18x18	REPLACE_WITH_STORE_CODE	in_stock	2889.00 INR	10000
sa-doctor-led-sign-board-24x24	REPLACE_WITH_STORE_CODE	in_stock	5489.00 INR	10000
sa-orthopedic-led-sign-board-18x18	REPLACE_WITH_STORE_CODE	in_stock	2889.00 INR	10000
sa-orthopedic-led-sign-board-24x24	REPLACE_WITH_STORE_CODE	in_stock	5489.00 INR	10000
sa-emergency-led-sign-board-18x18	REPLACE_WITH_STORE_CODE	in_stock	2889.00 INR	10000
sa-emergency-led-sign-board-24x24	REPLACE_WITH_STORE_CODE	in_stock	5489.00 INR	10000
sa-hospital-led-sign-board-18x18	REPLACE_WITH_STORE_CODE	in_stock	2889.00 INR	10000
sa-hospital-led-sign-board-24x24	REPLACE_WITH_STORE_CODE	in_stock	5489.00 INR	10000
sa-homeo-led-sign-board-18x18	REPLACE_WITH_STORE_CODE	in_stock	2889.00 INR	10000
sa-homeo-led-sign-board-24x24	REPLACE_WITH_STORE_CODE	in_stock	5489.00 INR	10000
sa-blue-3-inch-9mm-12v-pixel-3921	REPLACE_WITH_STORE_CODE	in_stock	165.00 INR	10000
sa-green-3-inch-9mm-12v-pixel-3919	REPLACE_WITH_STORE_CODE	in_stock	165.00 INR	10000
sa-red-3-inch-9mm-12v-pixel-3903	REPLACE_WITH_STORE_CODE	in_stock	165.00 INR	10000
sa-warm-white-smd-3-9mm-12v-pixel-impex-3925	REPLACE_WITH_STORE_CODE	in_stock	165.00 INR	10000
sa-warm-white-smd-3-9mm-12v-pixel-xpl-6613	REPLACE_WITH_STORE_CODE	in_stock	235.00 INR	10000
sa-yellow-3-inch-9mm-12v-pixel-3929	REPLACE_WITH_STORE_CODE	in_stock	165.00 INR	10000
sa-smd-pixel-5-inch-xpl-6725	REPLACE_WITH_STORE_CODE	in_stock	245.00 INR	10000
sa-blue-5-inch-9mm-12v-pixel-3949	REPLACE_WITH_STORE_CODE	in_stock	185.00 INR	10000
sa-blue-5-10mm-12v-pixel-xpl-6709	REPLACE_WITH_STORE_CODE	in_stock	245.00 INR	10000
sa-green-5-inch-9mm-12v-pixel-3947	REPLACE_WITH_STORE_CODE	in_stock	185.00 INR	10000
sa-green-5-10mm-12v-pixel-xpl-6701	REPLACE_WITH_STORE_CODE	in_stock	245.00 INR	10000
sa-pink-5-10mm-12v-pixel-xpl-6713	REPLACE_WITH_STORE_CODE	in_stock	245.00 INR	10000
sa-pink-white-5-inch-9mm-12v-pixel-3958	REPLACE_WITH_STORE_CODE	in_stock	185.00 INR	10000
sa-red-5-inch-9mm-12v-pixel-3931	REPLACE_WITH_STORE_CODE	in_stock	185.00 INR	10000
sa-red-5-10mm-12v-pixel-xpl-6687	REPLACE_WITH_STORE_CODE	in_stock	245.00 INR	10000
sa-warm-white-5-10mm-12v-pixel-xpl-6618	REPLACE_WITH_STORE_CODE	in_stock	245.00 INR	10000
sa-warm-white-5-10mm-12v-smd-pixel-impex-3954	REPLACE_WITH_STORE_CODE	in_stock	185.00 INR	10000
sa-white-5-inch-9mm-12v-pixel-3951	REPLACE_WITH_STORE_CODE	in_stock	185.00 INR	10000
sa-white-5-10mm-12v-pixel-xpl-6692	REPLACE_WITH_STORE_CODE	in_stock	245.00 INR	10000
sa-yellow-5-inch-9mm-12v-pixel-3956	REPLACE_WITH_STORE_CODE	in_stock	185.00 INR	10000
sa-yellow-5-10mm-12v-pixel-xpl-6705	REPLACE_WITH_STORE_CODE	in_stock	245.00 INR	10000
sa-warm-7-inch-9mm-12v-smd-pixel-xpl-3899	REPLACE_WITH_STORE_CODE	in_stock	255.00 INR	10000
sa-blue-7-inch-9mm-12v-pixel-3886	REPLACE_WITH_STORE_CODE	in_stock	205.00 INR	10000
sa-green-7-inch-9mm-12v-pixel-3882	REPLACE_WITH_STORE_CODE	in_stock	205.00 INR	10000
sa-pink-7-inch-9mm-12v-pixel-3890	REPLACE_WITH_STORE_CODE	in_stock	205.00 INR	10000
sa-red-7-inch-9mm-12v-pixel-3871	REPLACE_WITH_STORE_CODE	in_stock	205.00 INR	10000
sa-white-7-inch-9mm-12v-pixel-3901	REPLACE_WITH_STORE_CODE	in_stock	215.00 INR	10000
sa-yellow-7-inch-9mm-12v-pixel-3876	REPLACE_WITH_STORE_CODE	in_stock	205.00 INR	10000
