id,title,description,link,image_link,additional_image_link,additional_image_link,additional_image_link,availability,price,brand,condition,mpn,google_product_category,product_type,item_group_id,size
"sa-12v-5a-60w-led-adapter","12V 5A 60W LED Adapter","Buy a Hilight 12V 5A 60W indoor power adapter for LED strips, LED modules, neon signs and CCTV, with a 2.1 x 5.5 mm centre-positive DC connector.","https://signsandarts.in/12v-5a-60w-led-adapter","https://signsandarts.in/12v-5a-60w-led-adapter/image-1.webp","https://signsandarts.in/12v-5a-60w-led-adapter/image-2.webp","https://signsandarts.in/12v-5a-60w-led-adapter/image-3.webp","https://signsandarts.in/12v-5a-60w-led-adapter/image-4.webp","in_stock","371.00 INR","Signs and Arts","new","sa-12v-5a-60w-led-adapter","Electronics > Electronics Accessories > Power","Accessories","",""
"sa-bar-led-sign-board","Bar LED Sign Board 18x12 Single Sided Indoor","Buy Bar LED Sign Board 18x12 inch with multicolor LED bar mugs graphic. Single sided indoor board, plug and play, ideal for bars, restaurants, pubs and hotels.","https://signsandarts.in/bar-led-sign-board","https://signsandarts.in/bar-led-sign-board/main.webp","https://signsandarts.in/bar-led-sign-board/lifestyle.webp","https://signsandarts.in/bar-led-sign-board/size.webp","https://signsandarts.in/bar-led-sign-board/features.webp","in_stock","2189.00 INR","Signs and Arts","new","sa-bar-led-sign-board","Business & Industrial > Signage > Electric Signs > Lighted Signs","LED Sign Boards","","18x12 inch"
"sa-clinic-led-sign-board-18x18","Clinic Sign Board - Clinic Plus LED Sign Board 18x18 inch","Buy Clinic Plus LED Sign Board 18x18 inch in red and white. Clinic LED sign board / clinic sign board for clinic entrances, doctor offices, hospitals and medical storefronts. Double-sided pixel LED cross sign with weatherproof iron frame, hook mounting and 230V plug-and-play power.","https://signsandarts.in/clinic-led-sign-board","https://signsandarts.in/clinic-led-sign-board/main.webp","https://signsandarts.in/clinic-led-sign-board/size.webp","https://signsandarts.in/clinic-led-sign-board/features.webp","https://signsandarts.in/clinic-led-sign-board/lit.webp","in_stock","2689.00 INR","Signs and Arts","new","sa-clinic-led-sign-board-18x18","Business & Industrial > Signage > Electric Signs > Lighted Signs","LED Sign Boards","sa-clinic-led-sign-board","18x18 inch"
"sa-clinic-led-sign-board-24x24","Clinic Sign Board - Clinic Plus LED Sign Board 24x24 inch","Buy Clinic Plus LED Sign Board 24x24 inch in red and white. Larger clinic LED sign board / clinic sign board for better road visibility at clinics, hospitals and doctor offices. Pixel LED lighting, weatherproof iron frame, hook mounting and 230V plug-and-play installation.","https://signsandarts.in/clinic-led-sign-board","https://signsandarts.in/clinic-led-sign-board/main-24.webp","https://signsandarts.in/clinic-led-sign-board/perspective-24.webp","https://signsandarts.in/clinic-led-sign-board/front-24.webp","https://signsandarts.in/clinic-led-sign-board/features-24.webp","in_stock","5489.00 INR","Signs and Arts","new","sa-clinic-led-sign-board-24x24","Business & Industrial > Signage > Electric Signs > Lighted Signs","LED Sign Boards","sa-clinic-led-sign-board","24x24 inch"
"sa-neuro-plus-led-sign-board-18x18","Neuro Plus LED Sign Board 18x18 inch","Buy Neuro Plus LED Sign Board 18x18 inch with red plus-style body, white NEURO lettering, bright pixel LEDs, iron frame, weatherproof build and plug-and-play installation for neurology clinics.","https://signsandarts.in/neuro-plus-led-sign-board","https://signsandarts.in/neuro-plus-led-sign-board/main.webp","https://signsandarts.in/neuro-plus-led-sign-board/size.webp","https://signsandarts.in/neuro-plus-led-sign-board/features.webp","https://signsandarts.in/neuro-plus-led-sign-board/front.webp","in_stock","2689.00 INR","Signs and Arts","new","sa-neuro-plus-led-sign-board-18x18","Business & Industrial > Signage > Electric Signs > Lighted Signs","LED Sign Boards","sa-neuro-plus-led-sign-board","18x18 inch"
"sa-neuro-plus-led-sign-board-24x24","Neuro Plus LED Sign Board 24x24 inch","Buy Neuro Plus LED Sign Board 24x24 inch with the same red and white NEURO plus design in a larger size for better road visibility. Pixel LEDs, iron frame, weatherproof build and plug-and-play installation.","https://signsandarts.in/neuro-plus-led-sign-board","https://signsandarts.in/neuro-plus-led-sign-board/main.webp","https://signsandarts.in/neuro-plus-led-sign-board/features.webp","https://signsandarts.in/neuro-plus-led-sign-board/front.webp","https://signsandarts.in/neuro-plus-led-sign-board/overview.webp","in_stock","5489.00 INR","Signs and Arts","new","sa-neuro-plus-led-sign-board-24x24","Business & Industrial > Signage > Electric Signs > Lighted Signs","LED Sign Boards","sa-neuro-plus-led-sign-board","24x24 inch"
"sa-clinic-medical-led-sign-board","Clinic Medical LED Sign Board","Buy Clinic Medical LED Sign Board 24x18 inch in green and red. Use for clinics, medical shops, drug stores and hospital entrances. Double-sided flashing pixel LED display with CLINIC and MEDICAL text, waterproof storefront-ready frame, wall mounting and plug-and-play power.","https://signsandarts.in/clinic-medical-led-sign-board","https://signsandarts.in/clinic-medical-led-sign-board/main.webp","https://signsandarts.in/clinic-medical-led-sign-board/size.webp","https://signsandarts.in/clinic-medical-led-sign-board/features.webp","https://signsandarts.in/clinic-medical-led-sign-board/hook.webp","in_stock","6819.00 INR","Signs and Arts","new","sa-clinic-medical-led-sign-board","Business & Industrial > Signage > Electric Signs > Lighted Signs","LED Sign Boards","","24x18 inch"
"sa-computer-repair-led-sign-board","Computer Repair LED Sign Board 18x12 Single Sided Indoor","Buy Computer Repair LED Sign Board 18x12 inch for computer repair shops, laptop service centers and electronics counters. Single sided indoor board, plug and play.","https://signsandarts.in/computer-repair-led-sign-board","https://signsandarts.in/computer-repair-led-sign-board/main.webp","https://signsandarts.in/computer-repair-led-sign-board/led-on-off.webp","https://signsandarts.in/computer-repair-led-sign-board/features.webp","https://signsandarts.in/computer-repair-led-sign-board/size.webp","in_stock","2189.00 INR","Signs and Arts","new","sa-computer-repair-led-sign-board","Business & Industrial > Signage > Electric Signs > Lighted Signs","LED Sign Boards","","18x12 inch"
"sa-dental-led-sign-board","Dental LED Sign Board","Buy Dental LED Sign Board 24x18 inch with red tooth graphic and white DENTAL lettering. Double sided pixel LED board, waterproof and plug and play.","https://signsandarts.in/dental-led-sign-board","https://signsandarts.in/dental-led-sign-board/main.webp","https://signsandarts.in/dental-led-sign-board/size.webp","https://signsandarts.in/dental-led-sign-board/features.webp","https://signsandarts.in/dental-led-sign-board/lit.webp","in_stock","5128.00 INR","Signs and Arts","new","sa-dental-led-sign-board","Business & Industrial > Signage > Electric Signs > Lighted Signs","LED Sign Boards","","24x18 inch"
"sa-dental-plus-led-sign-board-18x18","Dental Plus LED Sign Board 18x18 inch","Buy Dental Plus LED Sign Board 18x18 inch with red plus-style body, white DENTAL lettering, bright pixel LEDs, iron frame, weatherproof build and plug-and-play installation for dental clinics.","https://signsandarts.in/dental-plus-led-sign-board","https://signsandarts.in/dental-plus-led-sign-board/main.webp","https://signsandarts.in/dental-plus-led-sign-board/size.webp","https://signsandarts.in/dental-plus-led-sign-board/features.webp","https://signsandarts.in/dental-plus-led-sign-board/front.webp","in_stock","2689.00 INR","Signs and Arts","new","sa-dental-plus-led-sign-board-18x18","Business & Industrial > Signage > Electric Signs > Lighted Signs","LED Sign Boards","sa-dental-plus-led-sign-board","18x18 inch"
"sa-dental-plus-led-sign-board-24x24","Dental Plus LED Sign Board 24x24 inch","Buy Dental Plus LED Sign Board 24x24 inch with the same red and white dental plus design in a larger size for better road visibility. Pixel LEDs, iron frame, weatherproof build and plug-and-play installation.","https://signsandarts.in/dental-plus-led-sign-board","https://signsandarts.in/dental-plus-led-sign-board/main.webp","https://signsandarts.in/dental-plus-led-sign-board/features.webp","https://signsandarts.in/dental-plus-led-sign-board/front.webp","https://signsandarts.in/dental-plus-led-sign-board/overview.webp","in_stock","5489.00 INR","Signs and Arts","new","sa-dental-plus-led-sign-board-24x24","Business & Industrial > Signage > Electric Signs > Lighted Signs","LED Sign Boards","sa-dental-plus-led-sign-board","24x24 inch"
"sa-green-clinic-led-sign-board-18x18","Clinic LED Sign Board - Green Cross LED Board 18x18 inch","Buy Clinic LED Sign Board 18x18 inch in green. Green cross LED board / clinic sign board for clinic entrances, hospitals, doctor offices and roadside medical signage. Double-sided pixel LEDs, weatherproof iron frame, hook mounting, 230V plug-and-play power and pan-India delivery.","https://signsandarts.in/green-clinic-led-sign-board","https://signsandarts.in/green-clinic-led-sign-board/main.webp","https://signsandarts.in/green-clinic-led-sign-board/size.webp","https://signsandarts.in/green-clinic-led-sign-board/features.webp","https://signsandarts.in/green-clinic-led-sign-board/perspective.webp","in_stock","2689.00 INR","Signs and Arts","new","sa-green-clinic-led-sign-board-18x18","Business & Industrial > Signage > Electric Signs > Lighted Signs","LED Sign Boards","sa-green-clinic-led-sign-board","18x18 inch"
"sa-green-clinic-led-sign-board-24x24","Clinic LED Sign Board - Green Cross LED Board 24x24 inch","Buy Clinic LED Sign Board 24x24 inch in green. Larger green cross LED board / clinic sign board for better visibility outside clinics, hospitals and doctor offices. Weatherproof iron frame, hook mounting, 230V plug-and-play power, COD and pan-India delivery.","https://signsandarts.in/green-clinic-led-sign-board","https://signsandarts.in/green-clinic-led-sign-board/main.webp","https://signsandarts.in/green-clinic-led-sign-board/size.webp","https://signsandarts.in/green-clinic-led-sign-board/features.webp","https://signsandarts.in/green-clinic-led-sign-board/perspective.webp","in_stock","5489.00 INR","Signs and Arts","new","sa-green-clinic-led-sign-board-24x24","Business & Industrial > Signage > Electric Signs > Lighted Signs","LED Sign Boards","sa-green-clinic-led-sign-board","24x24 inch"
"sa-hair-salon-led-sign-board","Hair Salon LED Sign Board 18x12 Single Sided Indoor","Buy Hair Salon LED Sign Board 18x12 inch with white scissors graphic and red HAIR SALON lettering. Single sided indoor board for salons and grooming studios.","https://signsandarts.in/hair-salon-led-sign-board","https://signsandarts.in/hair-salon-led-sign-board/main.webp","https://signsandarts.in/hair-salon-led-sign-board/led-on-off.webp","https://signsandarts.in/hair-salon-led-sign-board/features.webp","https://signsandarts.in/hair-salon-led-sign-board/size.webp","in_stock","2189.00 INR","Signs and Arts","new","sa-hair-salon-led-sign-board","Business & Industrial > Signage > Electric Signs > Lighted Signs","LED Sign Boards","","18x12 inch"
"sa-led-dimmer-controller","Inline LED Dimmer Controller for Single Color LED Strips","Buy Signs and Arts mini inline LED dimmer controller for single-color 12V-24V DC LED strips. Mode, speed and brightness buttons with auto memory.","https://signsandarts.in/led-dimmer-controller","https://signsandarts.in/led-dimmer-controller/main.webp","https://signsandarts.in/led-dimmer-controller/feed-clean.webp","https://signsandarts.in/led-dimmer-controller/feed-detail.webp","","in_stock","90.00 INR","Signs and Arts","new","sa-led-dimmer-controller","Electronics > Electronics Accessories > Power","Accessories","",""
"sa-led-strip-remote-controller","LED Strip Remote Controller","Buy Signs and Arts mini RF remote controller for single-color 12V DC LED strip lights. Brightness, mode and speed controls, compatible with common LED strips.","https://signsandarts.in/led-strip-remote-controller","https://signsandarts.in/led-strip-remote-controller/main.webp","https://signsandarts.in/led-strip-remote-controller/controller.webp","https://signsandarts.in/led-strip-remote-controller/overview.webp","https://signsandarts.in/led-strip-remote-controller/installation.webp","in_stock","339.00 INR","Signs and Arts","new","sa-led-strip-remote-controller","Electronics > Electronics Accessories > Power","Accessories","",""
"sa-love-neon-led-sign","Love Neon LED Sign","Buy Love Neon LED Sign in pink. Acrylic neon light for room decor, table decoration, gifts, night light, bar and hotel use. USB and battery powered.","https://signsandarts.in/love-neon-led-sign","https://signsandarts.in/love-neon-led-sign/main.webp","https://signsandarts.in/love-neon-led-sign/size.webp","https://signsandarts.in/love-neon-led-sign/features.webp","https://signsandarts.in/love-neon-led-sign/lifestyle1.webp","in_stock","400.00 INR","Signs and Arts","new","sa-love-neon-led-sign","Business & Industrial > Signage > Electric Signs > Lighted Signs","LED Sign Boards","",""
"sa-medical-pharmacy-led-sign-board-18x18","Medical & Pharmacy LED Sign Board - Green Cross Plus 18x18 inch","Buy Medical & Pharmacy LED Sign Board 18x18 inch in green. Medical LED sign board / pharmacy LED sign board for medical stores, pharmacies, drug stores and clinic counters. Green cross LED board and medical cross light board style with flashing pixel LEDs, weatherproof iron frame and plug-and-play power.","https://signsandarts.in/medical-pharmacy-led-sign-board","https://signsandarts.in/medical-pharmacy-led-sign-board/main.webp","https://signsandarts.in/medical-pharmacy-led-sign-board/size.webp","https://signsandarts.in/medical-pharmacy-led-sign-board/features.webp","https://signsandarts.in/medical-pharmacy-led-sign-board/led.webp","in_stock","2789.00 INR","Signs and Arts","new","sa-medical-pharmacy-led-sign-board-18x18","Business & Industrial > Signage > Electric Signs > Lighted Signs","LED Sign Boards","sa-medical-pharmacy-led-sign-board","18x18 inch"
"sa-medical-pharmacy-led-sign-board-24x24","Medical & Pharmacy LED Sign Board - Green Cross Plus 24x24 inch","Buy Medical & Pharmacy LED Sign Board 24x24 inch in green. Larger medical shop LED board and pharmacy sign board for medical shops, pharmacies, drug stores and roadside storefronts. Green cross LED board / medical cross light board style with flashing pixel LEDs, weatherproof iron frame and plug-and-play power.","https://signsandarts.in/medical-pharmacy-led-sign-board","https://signsandarts.in/medical-pharmacy-led-sign-board/main-24.webp","https://signsandarts.in/medical-pharmacy-led-sign-board/perspective-24.webp","https://signsandarts.in/medical-pharmacy-led-sign-board/front-24.webp","https://signsandarts.in/medical-pharmacy-led-sign-board/features-24.webp","in_stock","5489.00 INR","Signs and Arts","new","sa-medical-pharmacy-led-sign-board-24x24","Business & Industrial > Signage > Electric Signs > Lighted Signs","LED Sign Boards","sa-medical-pharmacy-led-sign-board","24x24 inch"
"sa-medical-plus-led-sign-board-18x18","Medical Plus LED Sign Board - Medical Cross Light Board 18x18 inch","Buy Medical Plus LED Sign Board 18x18 inch in green for medical stores and pharmacies. Medical cross LED board / medical cross light board with plus symbol, medical shop LED board use, double-sided 9mm pixel LEDs, weatherproof iron frame, hook mounting and plug-and-play installation.","https://signsandarts.in/medical-plus-led-sign-board","https://signsandarts.in/medical-plus-led-sign-board/main.webp","https://signsandarts.in/medical-plus-led-sign-board/size.webp","https://signsandarts.in/medical-plus-led-sign-board/features.webp","https://signsandarts.in/medical-plus-led-sign-board/led.webp","in_stock","2689.00 INR","Signs and Arts","new","sa-medical-plus-led-sign-board-18x18","Business & Industrial > Signage > Electric Signs > Lighted Signs","LED Sign Boards","sa-medical-plus-led-sign-board","18x18 inch"
"sa-medical-plus-led-sign-board-24x24","Medical Plus LED Sign Board - Medical Cross Light Board 24x24 inch","Buy Medical Plus LED Sign Board 24x24 inch in green. Larger medical cross LED board / medical cross light board for high visibility outside medical shops, pharmacies and clinics. Fits medical shop LED board, plus sign medical store light and LED sign board for pharmacy needs.","https://signsandarts.in/medical-plus-led-sign-board","https://signsandarts.in/medical-plus-led-sign-board/main-24.webp","https://signsandarts.in/medical-plus-led-sign-board/perspective-24.webp","https://signsandarts.in/medical-plus-led-sign-board/front-24.webp","https://signsandarts.in/medical-plus-led-sign-board/features-24.webp","in_stock","5489.00 INR","Signs and Arts","new","sa-medical-plus-led-sign-board-24x24","Business & Industrial > Signage > Electric Signs > Lighted Signs","LED Sign Boards","sa-medical-plus-led-sign-board","24x24 inch"
