priority,query,cluster,target,action,volume,clicks,cartAdds,purchases,purchaseRate,brandShare,medianPrice,opportunity,note
"1","neon sign board","new-custom-neon","/custom-neon-led-sign-board/","Create product/category page when photos ready","63404","23947","1956","120","0.19","0.16","199","122417","Create custom neon/name-board landing page before targeting"
"2","neon light name plate","new-custom-neon","/custom-neon-led-sign-board/","Create product/category page when photos ready","29175","13883","573","23","0.08","0.02","199","60076","Create custom neon/name-board landing page before targeting"
"3","name plate for office table","new-custom-neon","/custom-neon-led-sign-board/","Create product/category page when photos ready","30275","10842","630","121","0.4","0","449","56561","Create custom neon/name-board landing page before targeting"
"4","qr code stand","new-product","/qr-code-stand/","Create product/category page when photos ready","20028","7865","1277","495","2.47","0.01","299","48081","Highest purchases; consider simple QR stand/accessory product"
"5","pharmacy","existing-pharmacy","/pharmacy-plus-led-sign/","Optimize existing page","35685","942","179","13","0.04","0","229","38620","Use in pharmacy product and buying guide"
"6","open close sign board for shop","new-product","/open-close-sign-board/","Create product/category page when photos ready","15127","5873","1382","376","2.49","0.03","299","38290","High purchase intent; add low-price open/closed sign product"
"7","salon accessories","new-industry-page","/salon-led-sign-board/","Create product/category page when photos ready","15717","4005","1316","66","0.42","0.15","299","31075","Create salon sign board page/category when product photos ready"
"8","digital signage display","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","13634","3126","151","2","0.01","0.08","19139.67","20654","Create broader LED sign board buying guide"
"9","no smoking sign board","new-accessory","/shop-notice-sign-boards/","Create product/category page when photos ready","7023","2572","931","298","4.24","0","266","20398","Bundle shop notice boards/accessories category"
"10","led display board","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","11303","3603","290","20","0.18","0.61","2648","20130","Create broader LED sign board buying guide"
"11","display board","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","11306","2851","395","61","0.54","0.05","679","19709","Create broader LED sign board buying guide"
"12","led board","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","11591","1771","208","37","0.32","0.38","699","16573","Create broader LED sign board buying guide"
"13","flexible led display screen","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","11011","2262","112","1","0.01","0","2787","16107","Create broader LED sign board buying guide"
"14","salon decoration items","new-industry-page","/salon-led-sign-board/","Create product/category page when photos ready","6714","2187","582","25","0.37","0.14","379","14289","Create salon sign board page/category when product photos ready"
"15","light board","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","9597","1768","183","19","0.2","0.03","474","14273","Create broader LED sign board buying guide"
"16","shop name board led light","new-custom-neon","/custom-neon-led-sign-board/","Create product/category page when photos ready","9777","1455","74","1","0.01","0.18","1268","13051","Create custom neon/name-board landing page before targeting"
"17","sign board","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","7665","1215","373","56","0.73","0.23","279","12614","Create broader LED sign board buying guide"
"18","led display","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","8330","1606","135","8","0.1","0.14","1999","12301","Create broader LED sign board buying guide"
